ID	Gene Symbol	Gene Name	GB_ACC	SPOT_ID
WAN0088JK_at	NA	WAN0088JK 10595A-C05		WAN0088JK_at
WAN0088JL_at	IPMK	Inositol polyphosphate multikinase		WAN0088JL_at
WAN0088JM_x_at	NA	RC WAN0088JM 10595A-C02		WAN0088JM_x_at
WAN0088JM-rc_at	NA	WAN0088JM 10595A-C02		WAN0088JM-rc_at
WAN0088JO_at	NA	WAN0088JO 10595A-B11		WAN0088JO_at
WAN0088JP_at	NA	WAN0088JP 10595A-B10		WAN0088JP_at
WAN0088JQ_at	BRCA1	"Breast cancer 1, early onset"		WAN0088JQ_at
WAN0088JR_at	NA	WAN0088JR 10595A-B08		WAN0088JR_at
WAN0088JS_at	NA	WAN0088JS 10595A-B07		WAN0088JS_at
WAN0088JV_at	TRIB3	Tribbles homolog 3 (Drosophila)		WAN0088JV_at
WAN0088JX_x_at	NA	WAN0088JX 10595A-A12		WAN0088JX_x_at
WAN0088JZ_at	Sumo1	SMT3 suppressor of mif two 3 homolog 1 (yeast)		WAN0088JZ_at
WAN0088K0_at	CSDA	Cold shock domain protein A		WAN0088K0_at
WAN0088K1_at	BRD2	Bromodomain containing 2		WAN0088K1_at
WAN0088K2_at	DUSP16	Dual specificity phosphatase 16		WAN0088K2_at
WAN0088K3_at	NA	WAN0088K3 10595A-A03		WAN0088K3_at
WAN0088K6_x_at	LARP5	"La ribonucleoprotein domain family, member 5"		WAN0088K6_x_at
WAN0088K7_x_at	Hspa5	Heat shock 70kD protein 5 (glucose-regulated protein)		WAN0088K7_x_at
WAN0088KC_at	INTS10	Integrator complex subunit 10		WAN0088KC_at
WAN0088KE_at	AI450540	Expressed sequence AI450540		WAN0088KE_at
WAN0088KG_at	PPGB	Protective protein for beta-galactosidase (galactosialidosis)		WAN0088KG_at
WAN0088KK_x_at	Nfe2l2	"Nuclear factor, erythroid derived 2, like 2"		WAN0088KK_x_at
WAN0088KM_at	NA	WAN0088KM 10595B-G03		WAN0088KM_at
WAN0088KO_at	NA	WAN0088KO 10595B-G01		WAN0088KO_at
WAN0088KP_at	NA	WAN0088KP 10595B-F12		WAN0088KP_at
WAN0088KQ_at	NA	WAN0088KQ 10595B-F08		WAN0088KQ_at
WAN0088KR_at	2610012O22Rik	RIKEN cDNA 2610012O22 gene		WAN0088KR_at
WAN0088KW_at	NA	WAN0088KW 10595B-F01		WAN0088KW_at
WAN0088KX_f_at	NA	WAN0088KX 10595B-E11		WAN0088KX_f_at
WAN0088KX_x_at	NA	WAN0088KX 10595B-E11		WAN0088KX_x_at
WAN0088L0_f_at	CRKRS	"Cdc2-related kinase, arginine/serine-rich"		WAN0088L0_f_at
WAN0088L0_x_at	CRKRS	"Cdc2-related kinase, arginine/serine-rich"		WAN0088L0_x_at
WAN0088L2_at	NA	WAN0088L2 10595B-E04		WAN0088L2_at
WAN0088L3_at	TRPC4AP	"Transient receptor potential cation channel, subfamily C, member 4 associated protein"		WAN0088L3_at
WAN0088L6_f_at	NA	WAN0088L6 10595B-D11		WAN0088L6_f_at
WAN0088L6_x_at	NA	WAN0088L6 10595B-D11		WAN0088L6_x_at
WAN0088L8_at	NA	WAN0088L8 10595B-D09		WAN0088L8_at
WAN0088L9_x_at	NA	WAN0088L9 10595B-D08		WAN0088L9_x_at
WAN0088LB_at	NA	WAN0088LB 10595B-D06		WAN0088LB_at
WAN0088LC_at	NA	WAN0088LC 10595B-D05		WAN0088LC_at
WAN0088LD_at	TMEM38B	Transmembrane protein 38B		WAN0088LD_at
WAN0088LE_at	DSTN	Destrin (actin depolymerizing factor)		WAN0088LE_at
WAN0088LF_at	Ubl3	Ubiquitin-like 3		WAN0088LF_at
WAN0088LH_at	FTSJ3	FtsJ homolog 3 (E. coli)		WAN0088LH_at
WAN0088LM_at	Mm.390861	"PREDICTED: Mus musculus similar to transportin 1 (LOC624311), mRNA"		WAN0088LM_at
WAN0088LN_f_at	NA	WAN0088LN 10595B-C03		WAN0088LN_f_at
WAN0088LN_x_at	CSNK1A1	"Casein kinase 1, alpha 1"		WAN0088LN_x_at
WAN0088LO_at	4931406I20Rik	RIKEN cDNA 4931406I20 gene		WAN0088LO_at
WAN0088LP_at	SCYL3	SCY1-like 3 (S. cerevisiae)		WAN0088LP_at
WAN0088LT_at	ALAS1	"Aminolevulinate, delta-, synthase 1"		WAN0088LT_at
WAN0088LW_at	NA	WAN0088LW 10595B-B04		WAN0088LW_at
WAN0088LX_at	PRPF39	PRP39 pre-mRNA processing factor 39 homolog (S. cerevisiae)		WAN0088LX_at
WAN0088LZ_at	NA	WAN0088LZ 10595B-B01		WAN0088LZ_at
WAN0088M2_at	NA	WAN0088M2 10595B-A10		WAN0088M2_at
WAN0088M4_at	NA	WAN0088M4 10595B-A08		WAN0088M4_at
WAN0088M9_at	UBE2N	"Ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast)"		WAN0088M9_at
WAN0088MA_x_at	NA	WAN0088MA 10595C-H09		WAN0088MA_x_at
WAN0088MB_at	TMEM1	Transmembrane protein 1		WAN0088MB_at
WAN0088MC_at	Nckap1	NCK-associated protein 1		WAN0088MC_at
WAN0088MD_at	GORASP2	"Golgi reassembly stacking protein 2, 55kDa"		WAN0088MD_at
WAN0088MF_at	NA	WAN0088MF 10595C-H04		WAN0088MF_at
WAN0088MM_at	NA	WAN0088MM 10595C-G09		WAN0088MM_at
WAN0088MP_at	NA	WAN0088MP 10595C-G06		WAN0088MP_at
WAN0088MS_at	NA	WAN0088MS 10595C-G02		WAN0088MS_at
WAN0088MV_at	NA	WAN0088MV 10595C-F11		WAN0088MV_at
WAN0088MW_at	CNOT4	"CCR4-NOT transcription complex, subunit 4"		WAN0088MW_at
WAN0088MY_at	NA	WAN0088MY 10595C-F07		WAN0088MY_at
WAN0088N0_at	2810028N01Rik	RIKEN cDNA 2810028N01 gene		WAN0088N0_at
WAN0088N3_at	D030016E14Rik	RIKEN cDNA D030016E14 gene		WAN0088N3_at
WAN0088N6_at	TMEM66	Transmembrane protein 66		WAN0088N6_at
WAN0088NC_at	RPP40	Ribonuclease P 40kDa subunit		WAN0088NC_at
WAN0088NF_at	NA	WAN0088NF 10595C-D10		WAN0088NF_at
WAN0088NG_x_at	NA	WAN0088NG 10595C-D09		WAN0088NG_x_at
WAN0088NK_at	NA	WAN0088NK 10595C-D05		WAN0088NK_at
WAN0088NL_at	NA	WAN0088NL 10595C-D04		WAN0088NL_at
WAN0088NN_at	GRPEL1	"GrpE-like 1, mitochondrial (E. coli)"		WAN0088NN_at
WAN0088NO_x_at	NA	WAN0088NO 10595C-C12		WAN0088NO_x_at
WAN0088NP_at	DDX10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10		WAN0088NP_at
WAN0088NQ_at	FTSJ3	FtsJ homolog 3 (E. coli)		WAN0088NQ_at
WAN0088NR_at	SF3B3	"Splicing factor 3b, subunit 3, 130kDa"		WAN0088NR_at
WAN0088NS_at	CNOT6L	"CCR4-NOT transcription complex, subunit 6-like"		WAN0088NS_at
WAN0088NU_at	Mm.243014	"CDNA, clone:Y1G0133E05, strand:plus, reference:ENSEMBL:Mouse-Transcript- ENST:ENSMUST00000029699, based on BLAT search"		WAN0088NU_at
WAN0088NV_at	NA	WAN0088NV 10595C-C03		WAN0088NV_at
WAN0088NX_at	DNAJA1	"DnaJ (Hsp40) homolog, subfamily A, member 1"		WAN0088NX_at
WAN0088NY_at	NRD1	Nardilysin (N-arginine dibasic convertase)		WAN0088NY_at
WAN0088NZ_at	NA	WAN0088NZ 10595C-B07		WAN0088NZ_at
WAN0088O0_at	CAPN7	Calpain 7		WAN0088O0_at
WAN0088O2_at	9130023F12Rik	RIKEN cDNA 9130023F12 gene		WAN0088O2_at
WAN0088O3_at	NA	WAN0088O3 10595C-B03		WAN0088O3_at
WAN0088O4_at	IMPDH1	IMP (inosine monophosphate) dehydrogenase 1		WAN0088O4_at
WAN0088O9_at	Itgb1	Integrin beta 1 (fibronectin receptor beta)		WAN0088O9_at
WAN0088OB_at	BC017158	CDNA sequence BC017158		WAN0088OB_at
WAN0088OD_at	PNRC1	Proline-rich nuclear receptor coactivator 1		WAN0088OD_at
WAN0088OE_at	Crk	V-crk sarcoma virus CT10 oncogene homolog (avian)		WAN0088OE_at
WAN0088OF_at	NA	RC WAN0088OF 10595C-A02		WAN0088OF_at
WAN0088OF-rc_at	NA	WAN0088OF 10595C-A02		WAN0088OF-rc_at
WAN0088OH_at	Chmp5	Chromatin modifying protein 5		WAN0088OH_at
WAN0088OI_at	OXNAD1	Oxidoreductase NAD-binding domain containing 1		WAN0088OI_at
WAN0088OL-rc_at	TBC1D10B	"TBC1 domain family, member 10B"		WAN0088OL-rc_at
WAN0088ON_at	ATAD2	"ATPase family, AAA domain containing 2"		WAN0088ON_at
WAN0088OO_at	Ywhae	"Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide"		WAN0088OO_at
WAN0088OP_at	Hrb2	HIV-1 Rev binding protein 2		WAN0088OP_at
WAN0088OQ_at	U2AF1	U2 small nuclear RNA auxiliary factor 1		WAN0088OQ_at
WAN0088OR_at	EIF5B	Eukaryotic translation initiation factor 5B		WAN0088OR_at
WAN0088OT_at	NA	WAN0088OT 10595D-F11		WAN0088OT_at
WAN0088OU_at	NA	WAN0088OU 10595D-F10		WAN0088OU_at
WAN0088OV_x_at	NA	WAN0088OV 10595D-F09		WAN0088OV_x_at
WAN0088OX_x_at	NA	WAN0088OX 10595D-F07		WAN0088OX_x_at
WAN0088OY_x_at	Invs	Inversin		WAN0088OY_x_at
WAN0088P2_at	UAP1	UDP-N-acteylglucosamine pyrophosphorylase 1		WAN0088P2_at
WAN0088P5_at	ZNF326	Zinc finger protein 326		WAN0088P5_at
WAN0088P6_at	NA	WAN0088P6 10595D-E06		WAN0088P6_at
WAN0088P8_at	PLEKHM1	"Pleckstrin homology domain containing, family M (with RUN domain) member 1"		WAN0088P8_at
WAN0088PE_at	GRB14	Growth factor receptor-bound protein 14		WAN0088PE_at
WAN0088PF_at	NA	WAN0088PF 10595D-D06		WAN0088PF_at
WAN0088PG_x_at	NA	WAN0088PG 10595D-D05		WAN0088PG_x_at
WAN0088PH_at	NA	WAN0088PH 10595D-D04		WAN0088PH_at
WAN0088PL_at	REEP5	Receptor accessory protein 5		WAN0088PL_at
WAN0088PQ_at	SDCCAG10	Serologically defined colon cancer antigen 10		WAN0088PQ_at
WAN0088PR_at	CCPG1	Cell cycle progression 1		WAN0088PR_at
WAN0088PT_at	G730013B05Rik	RIKEN cDNA G730013B05 gene		WAN0088PT_at
WAN0088PU_at	Ywhab	"Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide"		WAN0088PU_at
WAN0088PX_at	NA	WAN0088PX 10595D-B08		WAN0088PX_at
WAN0088PY_at	Ddx5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5		WAN0088PY_at
WAN0088PZ_at	Itm2c	Integral membrane protein 2C		WAN0088PZ_at
WAN0088Q1_at	NA	WAN0088Q1 10595D-B04		WAN0088Q1_at
WAN0088Q4_at	NA	WAN0088Q4 10595D-A12		WAN0088Q4_at
WAN0088Q6_at	NA	WAN0088Q6 10595D-A09		WAN0088Q6_at
WAN0088Q9_at	NA	WAN0088Q9 10595D-A05		WAN0088Q9_at
WAN0088QB_x_at	NA	WAN0088QB 10595D-A02		WAN0088QB_x_at
WAN0088S8_at	SLC29A1	"Solute carrier family 29 (nucleoside transporters), member 1"		WAN0088S8_at
WAN0088SA_at	CUL7	Cullin 7		WAN0088SA_at
WAN0088SF_at	NA	WAN0088SF 10596A-H04		WAN0088SF_at
WAN0088SG_at	XPO5	Exportin 5		WAN0088SG_at
WAN0088SH_at	GPR177	G protein-coupled receptor 177		WAN0088SH_at
WAN0088SI_at	NA	WAN0088SI 10596A-H01		WAN0088SI_at
WAN0088SN_at	PKN2	Protein kinase N2		WAN0088SN_at
WAN0088SP_at	Mm.389946	"PREDICTED: Mus musculus similar to dynein, axonemal, heavy polypeptide 1 (LOC625992), mRNA"		WAN0088SP_at
WAN0088SQ_at	NA	WAN0088SQ 10596A-G04		WAN0088SQ_at
WAN0088SS_at	OSBPL3	Oxysterol binding protein-like 3		WAN0088SS_at
WAN0088ST_at	TBC1D15	"TBC1 domain family, member 15"		WAN0088ST_at
WAN0088SV_at	NA	WAN0088SV 10596A-F11		WAN0088SV_at
WAN0088SW_at	CSE1L	CSE1 chromosome segregation 1-like (yeast)		WAN0088SW_at
WAN0088SX_x_at	MGEA5	Meningioma expressed antigen 5 (hyaluronidase)		WAN0088SX_x_at
WAN0088T0_at	RGD1561681_predicted	Similar to pyruvate kinase (EC 2.7.1.40) isozyme M2 - rat (predicted)		WAN0088T0_at
WAN0088T1_at	Gcs1	Glucosidase 1		WAN0088T1_at
WAN0088T2_at	ATF4	Activating transcription factor 4 (tax-responsive enhancer element B67)		WAN0088T2_at
WAN0088T3_at	ANXA1	Annexin A1		WAN0088T3_at
WAN0088T4_f_at	NA	RC WAN0088T4 10596A-E08		WAN0088T4_f_at
WAN0088T4_x_at	NA	RC WAN0088T4 10596A-E08		WAN0088T4_x_at
WAN0088T4-rc_f_at	NA	WAN0088T4 10596A-E08		WAN0088T4-rc_f_at
WAN0088T4-rc_x_at	NA	WAN0088T4 10596A-E08		WAN0088T4-rc_x_at
WAN0088T5_at	CDK9	Cyclin-dependent kinase 9 (CDC2-related kinase)		WAN0088T5_at
WAN0088T6_at	NA	WAN0088T6 10596A-E06		WAN0088T6_at
WAN0088T7_at	Cyp51	"Cytochrome P450, family 51"		WAN0088T7_at
WAN0088T8_at	NA	WAN0088T8 10596A-E04		WAN0088T8_at
WAN0088TE_at	NA	WAN0088TE 10596A-D07		WAN0088TE_at
WAN0088TG_at	SRP72	Signal recognition particle 72kDa		WAN0088TG_at
WAN0088TK_x_at	HDGF	Hepatoma-derived growth factor (high-mobility group protein 1-like)		WAN0088TK_x_at
WAN0088TL_at	FUT8	"Fucosyltransferase 8 (alpha (1,6) fucosyltransferase)"		WAN0088TL_at
WAN0088TM_at	NA	WAN0088TM 10596A-C08		WAN0088TM_at
WAN0088TN_at	NA	WAN0088TN 10596A-C06		WAN0088TN_at
WAN0088TP_at	TM9SF3	Transmembrane 9 superfamily member 3		WAN0088TP_at
WAN0088TQ_at	NA	WAN0088TQ 10596A-C03		WAN0088TQ_at
WAN0088TV_at	NA	WAN0088TV 10596A-B07		WAN0088TV_at
WAN0088TW_at	TCEB3	"Transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)"		WAN0088TW_at
WAN0088TX_at	QTRT1	Queuine tRNA-ribosyltransferase 1 (tRNA-guanine transglycosylase)		WAN0088TX_at
WAN0088TY_at	DDX55	DEAD (Asp-Glu-Ala-Asp) box polypeptide 55		WAN0088TY_at
WAN0088U0_at	CAB39	Calcium binding protein 39		WAN0088U0_at
WAN0088U2-rc_at	DAG1	Dystroglycan 1 (dystrophin-associated glycoprotein 1)		WAN0088U2-rc_at
WAN0088U4_at	1810007M14Rik	RIKEN cDNA 1810007M14 gene		WAN0088U4_at
WAN0088U6_at	SPAG5	Sperm associated antigen 5		WAN0088U6_at
WAN0088U7_at	CCT6A	"Chaperonin containing TCP1, subunit 6A (zeta 1)"		WAN0088U7_at
WAN0088W7_s_at	RPS12	Ribosomal protein S12		WAN0088W7_s_at
WAN0088W7_x_at	RPS12	Ribosomal protein S12		WAN0088W7_x_at
WAN0088W8_at	NCOA6	Nuclear receptor coactivator 6		WAN0088W8_at
WAN0088WA_at	NA	WAN0088WA 10596C-H04		WAN0088WA_at
WAN0088WC_at	NA	WAN0088WC 10596C-H02		WAN0088WC_at
WAN0088WD_at	SRP72	Signal recognition particle 72kDa		WAN0088WD_at
WAN0088WE_at	NA	WAN0088WE 10596C-G12		WAN0088WE_at
WAN0088WF_at	DHX36	DEAH (Asp-Glu-Ala-His) box polypeptide 36		WAN0088WF_at
WAN0088WG_at	PA2G4	"Proliferation-associated 2G4, 38kDa"		WAN0088WG_at
WAN0088WK_at	NA	WAN0088WK 10596C-G03		WAN0088WK_at
WAN0088WM_at	NID1	Nidogen 1		WAN0088WM_at
WAN0088WO_at	RBM5	RNA binding motif protein 5		WAN0088WO_at
WAN0088WP_at	MARK1	MAP/microtubule affinity-regulating kinase 1		WAN0088WP_at
WAN0088WR_x_at	NA	WAN0088WR 10596C-F07		WAN0088WR_x_at
WAN0088WW_x_at	NA	WAN0088WW 10596C-E11		WAN0088WW_x_at
WAN0088WX_f_at	NA	WAN0088WX 10596C-E08		WAN0088WX_f_at
WAN0088WX_x_at	NA	WAN0088WX 10596C-E08		WAN0088WX_x_at
WAN0088WY_at	RBBP9	Retinoblastoma binding protein 9		WAN0088WY_at
WAN0088WZ-rc_at	APC	Adenomatosis polyposis coli		WAN0088WZ-rc_at
WAN0088X2_at	PEO1	Progressive external ophthalmoplegia 1		WAN0088X2_at
WAN0088X3_at	NA	WAN0088X3 10596C-E01		WAN0088X3_at
WAN0088X4_at	NA	WAN0088X4 10596C-D09		WAN0088X4_at
WAN0088X5_at	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)		WAN0088X5_at
WAN0088X6_at	NA	WAN0088X6 10596C-D07		WAN0088X6_at
WAN0088X8_x_at	NA	WAN0088X8 10596C-D05		WAN0088X8_x_at
WAN0088X9_at	RAB34	"RAB34, member RAS oncogene family"		WAN0088X9_at
WAN0088XA_at	NA	WAN0088XA 10596C-D03		WAN0088XA_at
WAN0088XB_at	RAD50	RAD50 homolog (S. cerevisiae)		WAN0088XB_at
WAN0088XD_x_at	NA	WAN0088XD 10596C-C12		WAN0088XD_x_at
WAN0088XE_at	AGA	Aspartylglucosaminidase		WAN0088XE_at
WAN0088XH_at	HERPUD1	"Homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1"		WAN0088XH_at
WAN0088XI_at	PPIE	Peptidylprolyl isomerase E (cyclophilin E)		WAN0088XI_at
WAN0088XK_at	9030416H16Rik	RIKEN cDNA 9030416H16 gene		WAN0088XK_at
WAN0088XL_at	NA	WAN0088XL 10596C-C03		WAN0088XL_at
WAN0088XM_f_at	NA	WAN0088XM 10596C-C02		WAN0088XM_f_at
WAN0088XM_x_at	NA	WAN0088XM 10596C-C02		WAN0088XM_x_at
WAN0088XN_at	MTHFD1L	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like		WAN0088XN_at
WAN0088XP_x_at	Trat1	T cell receptor associated transmembrane adaptor 1		WAN0088XP_x_at
WAN0088XQ_at	MRPS16	Mitochondrial ribosomal protein S16		WAN0088XQ_at
WAN0088XS_at	PKN2	Protein kinase N2		WAN0088XS_at
WAN0088XX_at	NA	WAN0088XX 10596C-A11		WAN0088XX_at
WAN0088XY_at	NA	WAN0088XY 10596C-A10		WAN0088XY_at
WAN0088XZ_at	RTN3	Reticulon 3		WAN0088XZ_at
WAN0088Y0_at	NA	WAN0088Y0 10596C-A07		WAN0088Y0_at
WAN0088Y1_at	Pum2	Pumilio 2 (Drosophila)		WAN0088Y1_at
WAN0088Y2_at	Ggnbp2	Gametogenetin binding protein 2		WAN0088Y2_at
WAN0088Y4_at	NA	WAN0088Y4 10596D-H12		WAN0088Y4_at
WAN0088Y5_at	NA	WAN0088Y5 10596D-H11		WAN0088Y5_at
WAN0088Y6_at	DDEF1	Development and differentiation enhancing factor 1		WAN0088Y6_at
WAN0088Y7_x_at	NA	WAN0088Y7 10596D-H09		WAN0088Y7_x_at
WAN0088Y9_at	NA	WAN0088Y9 10596D-H07		WAN0088Y9_at
WAN0088YA_at	GLRX5	Glutaredoxin 5 homolog (S. cerevisiae)		WAN0088YA_at
WAN0088YD_at	CCS	Copper chaperone for superoxide dismutase		WAN0088YD_at
WAN0088YE_at	KLHL5	Kelch-like 5 (Drosophila)		WAN0088YE_at
WAN0088YF_at	NID1	Nidogen 1		WAN0088YF_at
WAN0088YG_at	NA	WAN0088YG 10596D-G10		WAN0088YG_at
WAN0088YI_at	METAP2	Methionyl aminopeptidase 2		WAN0088YI_at
WAN0088YJ_at	NA	WAN0088YJ 10596D-G07		WAN0088YJ_at
WAN0088YK_at	PANX1	Pannexin 1		WAN0088YK_at
WAN0088YL_f_at	2700085E05Rik	RIKEN cDNA 2700085E05 gene		WAN0088YL_f_at
WAN0088YL_x_at	2700085E05Rik	RIKEN cDNA 2700085E05 gene		WAN0088YL_x_at
WAN0088YM_at	MKL1	Megakaryoblastic leukemia (translocation) 1		WAN0088YM_at
WAN0088YN_at	RNF12	Ring finger protein 12		WAN0088YN_at
WAN0088YP_at	NA	WAN0088YP 10596D-F12		WAN0088YP_at
WAN0088YR_at	ASPM	"Asp (abnormal spindle)-like, microcephaly associated (Drosophila)"		WAN0088YR_at
WAN0088YS_x_at	NA	WAN0088YS 10596D-F09		WAN0088YS_x_at
WAN0088YU_at	PPP4C	"Protein phosphatase 4 (formerly X), catalytic subunit"		WAN0088YU_at
WAN0088YV_x_at	NA	WAN0088YV 10596D-F06		WAN0088YV_x_at
WAN0088YX_at	NA	WAN0088YX 10596D-F03		WAN0088YX_at
WAN0088YY_at	Eif2s3x	"Eukaryotic translation initiation factor 2, subunit 3, structural gene X-linked"		WAN0088YY_at
WAN0088Z2_at	PWP2H	PWP2 periodic tryptophan protein homolog (yeast)		WAN0088Z2_at
WAN0088Z2-rc_at	NA	WAN0088Z2 10596D-E08		WAN0088Z2-rc_at
WAN0088Z3_at	ZFHX1B	Zinc finger homeobox 1b		WAN0088Z3_at
WAN0088Z4_at	NA	WAN0088Z4 10596D-E03		WAN0088Z4_at
WAN0088Z5_x_at	NA	WAN0088Z5 10596D-E01		WAN0088Z5_x_at
WAN0088Z6_at	SF3B2	"Splicing factor 3b, subunit 2, 145kDa"		WAN0088Z6_at
WAN0088Z7_at	GPSN2	"Glycoprotein, synaptic 2"		WAN0088Z7_at
WAN0088Z8_at	PRPF8	PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae)		WAN0088Z8_at
WAN0088Z9_at	PLAA	Phospholipase A2-activating protein		WAN0088Z9_at
WAN0088ZA_at	NA	WAN0088ZA 10596D-D07		WAN0088ZA_at
WAN0088ZB_at	TIAL1	TIA1 cytotoxic granule-associated RNA binding protein-like 1		WAN0088ZB_at
WAN0088ZC_at	PSEN1	Presenilin 1 (Alzheimer disease 3)		WAN0088ZC_at
WAN0088ZD_at	Lamb1-1	Laminin B1 subunit 1		WAN0088ZD_at
WAN0088ZE_at	BCR	Breakpoint cluster region		WAN0088ZE_at
WAN0088ZG_at	GPATC2	G patch domain containing 2		WAN0088ZG_at
WAN0088ZI_at	PPP2R2A	"Protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform"		WAN0088ZI_at
WAN0088ZJ_at	Slc4a2	"Solute carrier family 4 (anion exchanger), member 2"		WAN0088ZJ_at
WAN0088ZK-rc_at	Btrc	Beta-transducin repeat containing protein		WAN0088ZK-rc_at
WAN0088ZL_x_at	NA	WAN0088ZL 10596D-C04		WAN0088ZL_x_at
WAN0088ZM_at	SPSB2	SplA/ryanodine receptor domain and SOCS box containing 2		WAN0088ZM_at
WAN0088ZN_at	4932438A13Rik	RIKEN cDNA 4932438A13 gene		WAN0088ZN_at
WAN0088ZO_x_at	SYNCRIP	"Synaptotagmin binding, cytoplasmic RNA interacting protein"		WAN0088ZO_x_at
WAN0088ZP_at	Pawr	"PRKC, apoptosis, WT1, regulator"		WAN0088ZP_at
WAN0088ZT_at	HDAC6	Histone deacetylase 6		WAN0088ZT_at
WAN0088ZU_at	NA	WAN0088ZU 10596D-B06		WAN0088ZU_at
WAN0088ZW_at	NA	WAN0088ZW 10596D-B03		WAN0088ZW_at
WAN0088ZY_at	NA	WAN0088ZY 10596D-A12		WAN0088ZY_at
WAN0088ZZ_at	NA	WAN0088ZZ 10596D-A11		WAN0088ZZ_at
WAN008900_at	2610301K12Rik	RIKEN cDNA 2610301K12 gene		WAN008900_at
WAN008901_at	RAMP	RA-regulated nuclear matrix-associated protein		WAN008901_at
WAN008906_at	Zfp259	Zinc finger protein 259		WAN008906_at
WAN008907_at	EIF3S8	"Eukaryotic translation initiation factor 3, subunit 8, 110kDa"		WAN008907_at
WAN008908_at	NA	WAN008908 10596D-A01		WAN008908_at
WAN008930_at	NA	WAN008930 10599B-H08		WAN008930_at
WAN008931_at	NA	WAN008931 10599B-H06		WAN008931_at
WAN008936_at	SLC25A13	"Solute carrier family 25, member 13 (citrin)"		WAN008936_at
WAN008939_at	NA	WAN008939 10599B-G04		WAN008939_at
WAN00893B_x_at	NA	WAN00893B 10599B-G02		WAN00893B_x_at
WAN00893E_at	NA	WAN00893E 10599B-F11		WAN00893E_at
WAN00893H_at	DDX23	DEAD (Asp-Glu-Ala-Asp) box polypeptide 23		WAN00893H_at
WAN00893K_at	NA	WAN00893K 10599B-E10		WAN00893K_at
WAN00893L_at	Fancd2	"Fanconi anemia, complementation group D2"		WAN00893L_at
WAN00893P_at	NA	WAN00893P 10599B-E04		WAN00893P_at
WAN00893Q_at	NA	WAN00893Q 10599B-E02		WAN00893Q_at
WAN00893T_f_at	NA	WAN00893T 10599B-D11		WAN00893T_f_at
WAN00893T_x_at	NA	NA		WAN00893T_x_at
WAN00893V_at	NA	WAN00893V 10599B-D09		WAN00893V_at
WAN00893X_at	NA	WAN00893X 10599B-D06		WAN00893X_at
WAN00893Z_at	NA	WAN00893Z 10599B-D03		WAN00893Z_at
WAN008940_at	MRPL37	Mitochondrial ribosomal protein L37		WAN008940_at
